日期及型号,评论
2025年1月3日 · 【边充边玩】标准版+Hub套装,XREAL ONE 眼镜是一款令人印象深刻的产品。它不仅提供了高清的视觉体验，而且佩戴舒适，长时间使用也不会感到疲劳。智能交互功能使得操作变得简单快捷，兼容性强，无论是看电影还是玩游戏，都能享受到沉浸式的体验。这款眼镜的外观设计也非常时尚，配件齐全，包装精美。可惜身边的朋友大多都近视无法体验，但凡是不近视的我一推荐立马种草！
2024年12月15日 · 【DP直连】标准版,第一次用AR眼镜，老实说被惊艳了，轻便不用额外外接电源，在我看来这是能用不吃灰的第一个条件。显示效果的话，简单调节适应后，眼睛基本上和看普通显示器一样，看了两集电视剧没有明显不适，亮度，清晰度，鲜艳度也是可以。外观，不过不失吧，个人还是觉得有点土。网上吐槽收纳盖子合不上，其实是摆反了，线材放弧面，眼镜放平底那面，就能合严实了。
2025年2月1日 · 【DP直连】标准版,这产品简直垃圾，用过quest2、3的人才知道显示效果差太远了，可能清晰度好一些，但3D效果差太远了，只能看个投屏，而且距离最近4米，看电影也没法跟quest相比，quest自带处理器，可以脱机玩游戏，沉浸效果也没暇疵，xreal简直就是初级产品，拆包装就不能退货，动不动就没显示了，还不能升级，连电脑就现实不能连接。谁买谁后悔
2025年3月23日 · 【非DP设备推荐】Beam Pro256G套装,试过很多眼镜，还是这款最满意，满足日常使用，长期佩戴舒适度不错，带着玩ps5几个小时都没有严重的不适感，画面和音效也很满意，妥妥的懒人神器。 三挡的变色非常实用，满足不同环境的需求，并且后期还有摄像头拓展，很期待！搭配的beampro 摄影功能很赞，拍的3d视频和照片栩栩如生。五星好评，期待摄像头早日上市。出去旅游会增添很多乐
2025年1月2日 · 【DP直连】标准版,挺好的，电致变色挺酷。画面清晰显示范围挺大，音质比用过的其他品牌都好。功能按钮很齐全，3dof的定位功能也是行业的一大创新了，加入了这个功能依旧能保持重量的轻便。连接线用了编织材质要好评，更耐用了。但是镜身材质容易沾油，下一代是不是可以考虑用疏油材质。发热控制的很好，基本感受不到。希望官方出个观影盒子，这样就能解放手机看电影了。
2024年12月15日 · 【DP直连】标准版,当我第一次拿到xreal新推出的产品xreal one时，打开包装盒，取出眼镜，第一感觉就是它的轻巧和细致的工艺。包装内附带了一根高c to c的数据线，非常柔软，好评。 随着对xreal one的深入体验，我逐渐感受到这款产品带来的无与伦比的便利性。无论是在设计上还是功能上，xreal one都展示出了其产品设计团队的用心之处。
2024年12月15日 · 【DP直连】标准版,这一代直连DP设备，可自由悬停或者云台，甚至还能调节画面距离和大小，就连瞳距也能调节！！音质在我用过的ar眼镜里是最好的了，缺点就是电致变色最高档还是能看到漏光户外需要搭配遮光罩，音频协议在dp模式下下无法直接控制音量需要在菜单项里控制，选择uac协议可以在设备端控制，但是有些设备又没有声音(比如switch)，希望后续能优化吧。
2024年12月28日 · 【DP直连】标准版,自研的芯片把操作都给拉到眼镜上啦，冬天的时候都感觉不到热乎气儿呢，热量主要在那前镜框上部猫着呢，拿手摸摸就有点小暖和，3DOF和防抖可全靠这个了呢。头一回玩AR眼镜，1080p的清晰度看电影、打游戏那是相当够用，90Hz的刷新率玩掌机那是杠杠的，120Hz就得等之后的OTA啦，三档电致变色，那可选的范围可太舒服了，沉浸感嗷嗷增强。
2025年1月18日 · 【DP直连】标准版,整体使用体验相当不错，有点电影院的感觉。佩戴时，硅胶鼻托贴合度高，舒适感十足。其增稳功能表现出色，能有效过滤头部的轻微晃动，跟随模式稳定流畅，不会产生眩晕感。1080分辨率也还行，比 switch 的屏幕好多了。狠狠夸一下手机直连，确实方便太多了，但有一点就是手头暂时没有电脑升级不了固件就很烦。就现在使用感觉的话旅行使用确实不错。
2024年12月29日 · 【边充边玩】标准版+Hub套装,最近入手了 Xreal one 智能 AR 眼镜，着实被惊艳到。它的外观轻薄时尚，携带毫无负担。画面清晰*真，虚实融合效果绝佳，不管是观影还是玩游戏，沉浸感直接拉满。而且续航能力也能满足日常使用，最重要的是，在同类产品中，它的价格相当亲民，完全没有高价的门槛，让普通人也能轻松体验前沿科技，超高性价比真的让人很难拒绝，必须安利给大家。
2025年3月30日 · 【DP直连】标准版,送朋友的礼物 拿到手就试用了 很有科技感 连接简单操作方便 听说XREAL One采用索尼Micro-OLED屏幕，支持3840x1080分辨率与120Hz刷新率，色彩还原度与动态表现已接近高端显示器水准，配合BirdBath光学方案实现等效4米117英寸的巨幕体验，满足影音娱乐与专业场景需求。高级感满满 后续慢慢探索更多科技功能。
2024年12月22日 · 【DP直连】标准版,这次的新品相当不错，包装精美了不少，就是相当严丝合缝，盒子拆开有点费劲，这次新品眼镜外观和之前差不多，但是开机之后对比明显，比之前购买的2代画面清晰了许多，手机直连也方便了不少，更适合随身携带，看电影效果也特别棒，大屏幕相当给力，最大尺寸屏幕打游戏也很带劲，可以躺在床上享受大屏幕带来的快感，总体上相当满意，希望以后可以推出更好的产品。
2024年12月20日 · 【DP直连】标准版,�体验XREALOne，感受未来已来!�  最近入手了这款XREALOne新品，真的是让人眼前一亮!� 天生3DoF，让虚拟世界触手可及，每一次操作都流畅自然。让人惊艳的三档电致变色功能，可以根据环境光线自动调节，护眼又舒适。再加上自研芯片X1的加持，性能强劲，体验满分!�  如果你也是科技爱好者，这款XREALOne新品绝对值得一试!
2024年12月21日 · 【边充边玩】标准版+Hub套装,非常开心的一次购买，在网上查了很多资料，都推荐xreal品牌，正巧赶上新品发布。 发货快，顺丰第二天就收到货，拆开外包装漂亮，做工细致，品质过硬，上手使用更加惊艳，清晰度高，眼镜直接多种功能指间调节。自己的主要需求是电脑的扩展屏，因为设置达不到要求本来要退货，后来客户联系，指导设置，基本能满足需求，果断留下。出差和电影娱乐的必备，不错！
2024年12月15日 · 【DP直连】标准版,关注ar眼镜很久了，但是一直因为没有自带3dof所以一直只是关注。新款xrealone终于自带3dof了，不用再背个外设了。新款眼镜画面质量非常高，自研x1芯片使得画面延迟低，保证图像流畅清晰，自带3dof和防抖打fps游戏也不晕，而且镜片的防蓝光功能可减轻眼疲劳。佩戴起来也很舒适，重量轻巧，鼻托和镜腿符合人体工学，长时间戴也没有压迫感。
2024年12月20日 · 【DP直连】标准版,XREAL AIR2老用户来评价了，预售当天直接下单毫不犹豫，这款XREAL ONE可算是解决了我的最大痛点就是不再需要额外弄一个Beam了，自带3Dof真的吹爆，国产AR眼镜独此一家，平时出门逛街通勤更便携了。升级后的耳机音质也很不错，听歌明显感觉到空间感提升。另外我还配了近视镜片，镜片的组装拆卸也比之前的AIR2方便太多，总之很满意。
2025年1月18日 · 【DP直连】标准版,这是我入手的第一款，体验了几天感觉非常不错。佩戴舒适，不会感觉很重。显示效果也很出色，声音挺私密的，旁边的人基本听不见，耗电方面基本能接受，华为手机看一个电影用50%电量，出门携带非常方便。 要说不足的话，使用中突然屏幕消失了，咨询客服后说是要固件升级一下。还有就是长时间佩戴2h以上，鼻梁还是有点不适。 总之体验超乎预期，非常好的一款设备。
2025年1月24日 · 【边充边玩】标准版+Hub套装,眼镜做工不错的。就是没有那个sounds by boss印刷，不像店里图片那样。估计是没有boss认证，有点吹牛的嫌疑。 另外图像质量感觉就是1080，而且只低不高。 还有。我近视100来度，带眼镜和不带眼镜，视觉体验有明显区别。但都会聚焦上有点点模糊。字幕能看清。但影片里出现的一些字，小于字幕1/3的就有些糊了。更小那就看不清是什么字了。
2024年12月26日 · 【DP直连】标准版,"效果很棒很喜欢特别棒，但好像取消了前面的保护罩，看来只能用眼镜盒保护了。镜腿的金属材质挺特别。还是不错的,各个部位都算细致。材质比较亲肤，但整体有些重，加了镜片后有时眨眼会碰到镜片。直接通过镜腿的按键操作，比连接beam才能操作要方便多了,对我来说是最重要的一点变化。观影效果:确实屏幕的清晰度提升了，距离调节的加入很重要，这样才是真正的3D。"
2024年12月17日 · 【DP直连】标准版,優點：真的有如100寸大屏幕，不頭暈，畫面可以固定在空中，辦公和遊戲都方便。 缺點：比上一代稍為重一點，戴久了耳朵有點攰，收納線的位置可能會刮到鏡片。 建議：改善鏡盒，留個獨立空間收納USBC 線。做個全封閉眼罩吧，可以再沈浸一點  整體還是5星，這種新科技己經很完善了，Apple Vision很貴。買Xreal One做獨立顯示器非常有性價比
